pct_converted,green_infrastructure_pct,food_forest_pct,pct_highdensity,n_wet,n_for,n_hd,mean_cn,flood_reduction,runoff_acre_feet,mean_hm,cooling_f,mean_ndvi,carbon_tons_co2_yr,nature_access_pct,people_with_nature_access,food_mln_lbs,people_fed,total_cost_mln,scenario_name
15,60,40,0,4628,3085,1,70.04000091552734,29.96,229.9,0.3586,0.3,0.2904999852180481,4451.9,65.4,100933,7.876,3938,58.22,15% converted — GI 60% / FF 40%
15,70,0,30,5399,0,2315,69.91999816894531,30.08,227.1,0.3293,0.2,0.2687000036239624,2397.2,65.3,100699,0.0,0,62.5,15% converted — GI 70% / FF 0%
15,70,10,20,5399,771,1544,69.69999694824219,30.3,222.0,0.3392,0.3,0.2757999897003174,2996.2,65.4,100807,1.968,984,63.35,15% converted — GI 70% / FF 10%
15,70,20,10,5399,1542,773,69.4800033569336,30.52,217.0,0.3492,0.3,0.28290000557899475,3595.3,65.4,100920,3.937,1968,64.21,15% converted — GI 70% / FF 20%
15,70,30,0,5399,2314,1,69.25,30.75,211.9,0.3591,0.3,0.289900004863739,4195.1,65.4,100933,5.908,2954,65.07,15% converted — GI 70% / FF 30%
15,80,0,20,6171,0,1543,68.9000015258789,31.1,204.2,0.3398,0.3,0.275299996137619,2739.9,65.4,100807,0.0,0,70.21,15% converted — GI 80% / FF 0%
15,80,10,10,6171,771,772,68.68000030517578,31.32,199.4,0.3497,0.3,0.2822999954223633,3339.0,65.4,100926,1.968,984,71.07,15% converted — GI 80% / FF 10%
15,80,20,0,6171,1542,1,68.45999908447266,31.54,194.7,0.3596,0.4,0.28940001130104065,3938.1,65.4,100933,3.937,1968,71.92,15% converted — GI 80% / FF 20%
15,90,0,10,6942,0,772,67.88999938964844,32.11,182.8,0.3502,0.3,0.2818000018596649,3082.2,65.4,100926,0.0,0,77.91,15% converted — GI 90% / FF 0%
15,90,10,0,6942,771,1,67.66000366210938,32.34,178.1,0.3601,0.4,0.2888999879360199,3681.3,65.4,100933,1.968,984,78.77,15% converted — GI 90% / FF 10%
15,100,0,0,7714,0,0,66.87000274658203,33.13,162.5,0.3607,0.4,0.2883000075817108,3425.0,65.4,100933,0.0,0,85.63,15% converted — GI 100% / FF 0%
20,0,0,100,0,0,10286,77.4800033569336,22.52,442.7,0.2508,-0.1,0.21979999542236328,0.0,33.7,51959,0.0,0,11.42,20% converted — GI 0% / FF 0%
20,0,10,90,0,1028,9258,77.18000030517578,22.82,432.5,0.2641,-0.0,0.22920000553131104,798.8,64.4,99293,2.624,1312,12.56,20% converted — GI 0% / FF 10%
20,0,20,80,0,2057,8229,76.87999725341797,23.12,422.4,0.2773,0.0,0.2386000007390976,1598.3,64.9,100169,5.252,2626,13.7,20% converted — GI 0% / FF 20%
20,0,30,70,0,3085,7201,76.5999984741211,23.4,413.1,0.2906,0.1,0.24809999763965607,2397.0,65.1,100378,7.876,3938,14.84,20% converted — GI 0% / FF 30%
20,0,40,60,0,4114,6172,76.30000305175781,23.7,403.3,0.3038,0.1,0.2574999928474426,3196.6,65.2,100542,10.503,5251,15.98,20% converted — GI 0% / FF 40%
20,0,50,50,0,5143,5143,76.01000213623047,23.99,393.9,0.3171,0.2,0.2669000029563904,3996.1,65.3,100682,13.13,6565,17.13,20% converted — GI 0% / FF 50%
20,0,60,40,0,6171,4115,75.7300033569336,24.27,385.1,0.3303,0.2,0.27639999985694885,4794.9,65.4,100808,15.755,7877,18.27,20% converted — GI 0% / FF 60%
20,0,70,30,0,7200,3086,75.43000030517578,24.57,375.7,0.3435,0.3,0.2858000099658966,5594.4,65.4,100881,18.382,9191,19.41,20% converted — GI 0% / FF 70%
20,0,80,20,0,8228,2058,75.12999725341797,24.87,366.4,0.3568,0.3,0.295199990272522,6393.2,65.5,100974,21.006,10503,20.55,20% converted — GI 0% / FF 80%
20,0,90,10,0,9257,1029,74.83999633789062,25.16,357.6,0.37,0.4,0.30469998717308044,7192.7,65.6,101117,23.633,11816,21.69,20% converted — GI 0% / FF 90%
20,0,100,0,0,10286,0,74.54000091552734,25.46,348.6,0.3833,0.4,0.3140999972820282,7992.2,65.6,101120,26.26,13130,22.83,20% converted — GI 0% / FF 100%
20,10,0,90,1028,0,9258,76.12000274658203,23.88,397.5,0.2648,-0.0,0.22849999368190765,456.4,64.4,99293,0.0,0,21.69,20% converted — GI 10% / FF 0%
