city,strategy,scenario,pct,seed,flood_reduction,mean_hm,food_mln_lbs,carbon_tons_co2_yr,runoff_acre_feet,elapsed_s,saturated
"Minneapolis, MN",random,all_hd,10,8,23.86,0.19050000607967377,0.0,0.0,398.8,0.028,False
"Minneapolis, MN",random,all_hd,10,9,23.85,0.19030000269412994,0.0,0.0,399.2,0.028,False
"Minneapolis, MN",random,all_hd,25,0,23.13,0.1843000054359436,0.0,0.0,422.8,0.028,False
"Minneapolis, MN",random,all_hd,25,1,23.14,0.18440000712871552,0.0,0.0,422.5,0.028,False
"Minneapolis, MN",random,all_hd,25,2,23.14,0.18410000205039978,0.0,0.0,422.5,0.028,False
"Minneapolis, MN",random,all_hd,25,3,23.13,0.1842000037431717,0.0,0.0,422.8,0.028,False
"Minneapolis, MN",random,all_hd,25,4,23.14,0.1843000054359436,0.0,0.0,422.5,0.027,False
"Minneapolis, MN",random,all_hd,25,5,23.14,0.1842000037431717,0.0,0.0,422.5,0.027,False
"Minneapolis, MN",random,all_hd,25,6,23.14,0.1843000054359436,0.0,0.0,422.5,0.028,False
"Minneapolis, MN",random,all_hd,25,7,23.15,0.18440000712871552,0.0,0.0,422.1,0.028,False
"Minneapolis, MN",random,all_hd,25,8,23.15,0.18440000712871552,0.0,0.0,422.1,0.029,False
"Minneapolis, MN",random,all_hd,25,9,23.14,0.1842000037431717,0.0,0.0,422.5,0.028,False
"Minneapolis, MN",random,all_hd,50,0,21.94,0.1736000031232834,0.0,0.0,463.8,0.027,False
"Minneapolis, MN",random,all_hd,50,1,21.94,0.1738000065088272,0.0,0.0,463.8,0.028,False
"Minneapolis, MN",random,all_hd,50,2,21.95,0.17339999973773956,0.0,0.0,463.5,0.027,False
"Minneapolis, MN",random,all_hd,50,3,21.94,0.17350000143051147,0.0,0.0,463.8,0.027,False
"Minneapolis, MN",random,all_hd,50,4,21.94,0.17350000143051147,0.0,0.0,463.8,0.027,False
"Minneapolis, MN",random,all_hd,50,5,21.95,0.17350000143051147,0.0,0.0,463.5,0.031,False
