city,strategy,pct,seed,n_chosen,chosen_pool_mean_score,overall_pool_mean_score,gap,scoring_surface,saturated,nonzero_count
"Minneapolis Full, MN",random,10,7,8587,14.039995482994177,14.117868720419317,-0.07787323742513941,flood-focused,False,85873
"Minneapolis Full, MN",random,10,8,8587,14.155578772917462,14.117868720419317,0.037710052498145075,flood-focused,False,85873
"Minneapolis Full, MN",random,10,9,8587,14.105665169443386,14.117868720419317,-0.012203550975931066,flood-focused,False,85873
"Minneapolis Full, MN",flood-focused,10,0,8587,15.443544452495086,14.117868720419317,1.3256757320757693,flood-focused,False,82119
"Minneapolis Full, MN",flood-focused,10,1,8587,15.419429286067759,14.117868720419317,1.3015605656484421,flood-focused,False,82119
"Minneapolis Full, MN",flood-focused,10,2,8587,15.434007829462196,14.117868720419317,1.3161391090428793,flood-focused,False,82119
"Minneapolis Full, MN",flood-focused,10,3,8587,15.450687518188703,14.117868720419317,1.3328187977693862,flood-focused,False,82119
"Minneapolis Full, MN",flood-focused,10,4,8587,15.474069796994023,14.117868720419317,1.3562010765747061,flood-focused,False,82119
"Minneapolis Full, MN",flood-focused,10,5,8587,15.472966714804901,14.117868720419317,1.3550979943855843,flood-focused,False,82119
"Minneapolis Full, MN",flood-focused,10,6,8587,15.460030718938338,14.117868720419317,1.3421619985190212,flood-focused,False,82119
"Minneapolis Full, MN",flood-focused,10,7,8587,15.474769856223565,14.117868720419317,1.3569011358042484,flood-focused,False,82119
"Minneapolis Full, MN",flood-focused,10,8,8587,15.48099629391017,14.117868720419317,1.3631275734908535,flood-focused,False,82119
"Minneapolis Full, MN",flood-focused,10,9,8587,15.454671180442539,14.117868720419317,1.3368024600232218,flood-focused,False,82119
"Minneapolis Full, MN",cooling-focused,10,0,8587,0.38995490996288884,0.35805228066127276,0.03190262930161608,cooling-focused,False,85873
"Minneapolis Full, MN",cooling-focused,10,1,8587,0.3902494050597844,0.35805228066127276,0.032197124398511634,cooling-focused,False,85873
"Minneapolis Full, MN",cooling-focused,10,2,8587,0.3898384286623848,0.35805228066127276,0.03178614800111201,cooling-focused,False,85873
"Minneapolis Full, MN",cooling-focused,10,3,8587,0.38962815485751773,0.35805228066127276,0.03157587419624497,cooling-focused,False,85873
"Minneapolis Full, MN",cooling-focused,10,4,8587,0.390585143283677,0.35805228066127276,0.032532862622404235,cooling-focused,False,85873
"Minneapolis Full, MN",cooling-focused,10,5,8587,0.38767940854622923,0.35805228066127276,0.029627127884956472,cooling-focused,False,85873
"Minneapolis Full, MN",cooling-focused,10,6,8587,0.39110248204066966,0.35805228066127276,0.033050201379396904,cooling-focused,False,85873
"Minneapolis Full, MN",cooling-focused,10,7,8587,0.39128356777933393,0.35805228066127276,0.03323128711806117,cooling-focused,False,85873
"Minneapolis Full, MN",cooling-focused,10,8,8587,0.38900117126087447,0.35805228066127276,0.03094889059960171,cooling-focused,False,85873
"Minneapolis Full, MN",cooling-focused,10,9,8587,0.38910015294129946,0.35805228066127276,0.0310478722800267,cooling-focused,False,85873
"Minneapolis Full, MN",undersupply-focused,10,0,8587,12.369874180012433,2.524380441077921,9.845493738934511,undersupply-focused,False,20384
"Minneapolis Full, MN",undersupply-focused,10,1,8587,12.374497383710468,2.524380441077921,9.850116942632546,undersupply-focused,False,20384
"Minneapolis Full, MN",undersupply-focused,10,2,8587,12.335687854698469,2.524380441077921,9.811307413620547,undersupply-focused,False,20384
"Minneapolis Full, MN",undersupply-focused,10,3,8587,12.359765560950565,2.524380441077921,9.835385119872644,undersupply-focused,False,20384
"Minneapolis Full, MN",undersupply-focused,10,4,8587,12.30993555750088,2.524380441077921,9.785555116422959,undersupply-focused,False,20384
"Minneapolis Full, MN",undersupply-focused,10,5,8587,12.345065534414923,2.524380441077921,9.820685093337001,undersupply-focused,False,20384
"Minneapolis Full, MN",undersupply-focused,10,6,8587,12.360431695727115,2.524380441077921,9.836051254649194,undersupply-focused,False,20384
"Minneapolis Full, MN",undersupply-focused,10,7,8587,12.34416671764235,2.524380441077921,9.819786276564429,undersupply-focused,False,20384
"Minneapolis Full, MN",undersupply-focused,10,8,8587,12.414123948003496,2.524380441077921,9.889743506925575,undersupply-focused,False,20384
"Minneapolis Full, MN",undersupply-focused,10,9,8587,12.389804454930406,2.524380441077921,9.865424013852484,undersupply-focused,False,20384
"Minneapolis Full, MN",balanced,10,0,8587,1.7649725816935834e-05,1.164510381610052e-05,6.004622000835314e-06,balanced,False,85873
"Minneapolis Full, MN",balanced,10,1,8587,1.739187698797758e-05,1.164510381610052e-05,5.746773171877059e-06,balanced,False,85873
"Minneapolis Full, MN",balanced,10,2,8587,1.7462651777070002e-05,1.164510381610052e-05,5.817547960969482e-06,balanced,False,85873
"Minneapolis Full, MN",balanced,10,3,8587,1.7365490894000054e-05,1.164510381610052e-05,5.7203870778995345e-06,balanced,False,85873
"Minneapolis Full, MN",balanced,10,4,8587,1.739976013161979e-05,1.164510381610052e-05,5.754656315519269e-06,balanced,False,85873
"Minneapolis Full, MN",balanced,10,5,8587,1.7332799198914075e-05,1.164510381610052e-05,5.687695382813555e-06,balanced,False,85873
"Minneapolis Full, MN",balanced,10,6,8587,1.7579284087116267e-05,1.164510381610052e-05,5.934180271015747e-06,balanced,False,85873
"Minneapolis Full, MN",balanced,10,7,8587,1.7330758783683585e-05,1.164510381610052e-05,5.6856549675830656e-06,balanced,False,85873
"Minneapolis Full, MN",balanced,10,8,8587,1.7531070367107762e-05,1.164510381610052e-05,5.8859665510072425e-06,balanced,False,85873
"Minneapolis Full, MN",balanced,10,9,8587,1.7365647011032876e-05,1.164510381610052e-05,5.720543194932356e-06,balanced,False,85873
"Minneapolis Full, MN",random,25,0,21468,14.099052273912333,14.117868720419317,-0.018816446506983553,flood-focused,False,85873
"Minneapolis Full, MN",random,25,1,21468,14.138849539375478,14.117868720419317,0.02098081895616133,flood-focused,False,85873
"Minneapolis Full, MN",random,25,2,21468,14.136587033418147,14.117868720419317,0.0187183129988302,flood-focused,False,85873
"Minneapolis Full, MN",random,25,3,21468,14.088585152541352,14.117868720419317,-0.0292835678779646,flood-focused,False,85873
"Minneapolis Full, MN",random,25,4,21468,14.139179184048292,14.117868720419317,0.02131046362897493,flood-focused,False,85873
"Minneapolis Full, MN",random,25,5,21468,14.107241726520542,14.117868720419317,-0.010626993898775083,flood-focused,False,85873
"Minneapolis Full, MN",random,25,6,21468,14.158855590136485,14.117868720419317,0.040986869717167806,flood-focused,False,85873
"Minneapolis Full, MN",random,25,7,21468,14.09085295012705,14.117868720419317,-0.027015770292265984,flood-focused,False,85873
"Minneapolis Full, MN",random,25,8,21468,14.104311029780668,14.117868720419317,-0.013557690638648978,flood-focused,False,85873
"Minneapolis Full, MN",random,25,9,21468,14.080734766835256,14.117868720419317,-0.037133953584060464,flood-focused,False,85873
"Minneapolis Full, MN",flood-focused,25,0,21468,15.412015819265234,14.117868720419317,1.294147098845917,flood-focused,False,82119
"Minneapolis Full, MN",flood-focused,25,1,21468,15.390491845414797,14.117868720419317,1.27262312499548,flood-focused,False,82119
"Minneapolis Full, MN",flood-focused,25,2,21468,15.437115607894107,14.117868720419317,1.3192468874747902,flood-focused,False,82119
"Minneapolis Full, MN",flood-focused,25,3,21468,15.436075484674138,14.117868720419317,1.3182067642548212,flood-focused,False,82119
"Minneapolis Full, MN",flood-focused,25,4,21468,15.438144930618103,14.117868720419317,1.3202762101987862,flood-focused,False,82119
"Minneapolis Full, MN",flood-focused,25,5,21468,15.432423657158779,14.117868720419317,1.3145549367394622,flood-focused,False,82119
"Minneapolis Full, MN",flood-focused,25,6,21468,15.428015900318576,14.117868720419317,1.3101471798992588,flood-focused,False,82119
"Minneapolis Full, MN",flood-focused,25,7,21468,15.421816761885266,14.117868720419317,1.303948041465949,flood-focused,False,82119
"Minneapolis Full, MN",flood-focused,25,8,21468,15.433542402361914,14.117868720419317,1.315673681942597,flood-focused,False,82119
"Minneapolis Full, MN",flood-focused,25,9,21468,15.426857142883879,14.117868720419317,1.3089884224645623,flood-focused,False,82119
"Minneapolis Full, MN",cooling-focused,25,0,21468,0.38774827492073133,0.35805228066127276,0.02969599425945857,cooling-focused,False,85873
"Minneapolis Full, MN",cooling-focused,25,1,21468,0.3883395882190152,0.35805228066127276,0.03028730755774245,cooling-focused,False,85873
"Minneapolis Full, MN",cooling-focused,25,2,21468,0.3884318860302998,0.35805228066127276,0.030379605369027063,cooling-focused,False,85873
"Minneapolis Full, MN",cooling-focused,25,3,21468,0.38761160910176007,0.35805228066127276,0.02955932844048731,cooling-focused,False,85873
"Minneapolis Full, MN",cooling-focused,25,4,21468,0.3883900045071266,0.35805228066127276,0.030337723845853815,cooling-focused,False,85873
"Minneapolis Full, MN",cooling-focused,25,5,21468,0.38717477138998896,0.35805228066127276,0.0291224907287162,cooling-focused,False,85873
"Minneapolis Full, MN",cooling-focused,25,6,21468,0.3894670184276239,0.35805228066127276,0.03141473776635112,cooling-focused,False,85873
"Minneapolis Full, MN",cooling-focused,25,7,21468,0.38867584588566223,0.35805228066127276,0.03062356522438947,cooling-focused,False,85873
"Minneapolis Full, MN",cooling-focused,25,8,21468,0.38848621935914984,0.35805228066127276,0.030433938697877083,cooling-focused,False,85873
"Minneapolis Full, MN",cooling-focused,25,9,21468,0.38780583220027964,0.35805228066127276,0.029753551539006884,cooling-focused,False,85873
"Minneapolis Full, MN",undersupply-focused,25,0,21468,10.09763935237024,2.524380441077921,7.573258911292319,undersupply-focused,True,20384
"Minneapolis Full, MN",undersupply-focused,25,1,21468,10.09763935237024,2.524380441077921,7.573258911292319,undersupply-focused,True,20384
"Minneapolis Full, MN",undersupply-focused,25,2,21468,10.09763935237024,2.524380441077921,7.573258911292319,undersupply-focused,True,20384
"Minneapolis Full, MN",undersupply-focused,25,3,21468,10.09763935237024,2.524380441077921,7.573258911292319,undersupply-focused,True,20384
"Minneapolis Full, MN",undersupply-focused,25,4,21468,10.09763935237024,2.524380441077921,7.573258911292319,undersupply-focused,True,20384
"Minneapolis Full, MN",undersupply-focused,25,5,21468,10.09763935237024,2.524380441077921,7.573258911292319,undersupply-focused,True,20384
"Minneapolis Full, MN",undersupply-focused,25,6,21468,10.09763935237024,2.524380441077921,7.573258911292319,undersupply-focused,True,20384
"Minneapolis Full, MN",undersupply-focused,25,7,21468,10.09763935237024,2.524380441077921,7.573258911292319,undersupply-focused,True,20384
"Minneapolis Full, MN",undersupply-focused,25,8,21468,10.09763935237024,2.524380441077921,7.573258911292319,undersupply-focused,True,20384
"Minneapolis Full, MN",undersupply-focused,25,9,21468,10.09763935237024,2.524380441077921,7.573258911292319,undersupply-focused,True,20384
"Minneapolis Full, MN",balanced,25,0,21468,1.669611007779841e-05,1.164510381610052e-05,5.051006261697889e-06,balanced,False,85873
"Minneapolis Full, MN",balanced,25,1,21468,1.6589189689470877e-05,1.164510381610052e-05,4.944085873370357e-06,balanced,False,85873
"Minneapolis Full, MN",balanced,25,2,21468,1.6690189591581175e-05,1.164510381610052e-05,5.045085775480655e-06,balanced,False,85873
"Minneapolis Full, MN",balanced,25,3,21468,1.659157721755347e-05,1.164510381610052e-05,4.9464734014529496e-06,balanced,False,85873
"Minneapolis Full, MN",balanced,25,4,21468,1.651014567923509e-05,1.164510381610052e-05,4.86504186313457e-06,balanced,False,85873
"Minneapolis Full, MN",balanced,25,5,21468,1.659884220617633e-05,1.164510381610052e-05,4.95373839007581e-06,balanced,False,85873
"Minneapolis Full, MN",balanced,25,6,21468,1.657748196194406e-05,1.164510381610052e-05,4.932378145843539e-06,balanced,False,85873
"Minneapolis Full, MN",balanced,25,7,21468,1.652793100063411e-05,1.164510381610052e-05,4.882827184533589e-06,balanced,False,85873
"Minneapolis Full, MN",balanced,25,8,21468,1.659697272801335e-05,1.164510381610052e-05,4.95186891191283e-06,balanced,False,85873
"Minneapolis Full, MN",balanced,25,9,21468,1.6558007048168804e-05,1.164510381610052e-05,4.912903232068284e-06,balanced,False,85873
"Minneapolis Full, MN",random,50,0,42936,14.13149295255582,14.117868720419317,0.013624232136503878,flood-focused,False,85873
"Minneapolis Full, MN",random,50,1,42936,14.134134038301228,14.117868720419317,0.016265317881911656,flood-focused,False,85873
"Minneapolis Full, MN",random,50,2,42936,14.115235263863728,14.117868720419317,-0.0026334565555892198,flood-focused,False,85873
"Minneapolis Full, MN",random,50,3,42936,14.091934934653866,14.117868720419317,-0.025933785765451134,flood-focused,False,85873
"Minneapolis Full, MN",random,50,4,42936,14.132399599225955,14.117868720419317,0.014530878806638725,flood-focused,False,85873
"Minneapolis Full, MN",random,50,5,42936,14.108174328402168,14.117868720419317,-0.009694392017149056,flood-focused,False,85873
"Minneapolis Full, MN",random,50,6,42936,14.126262413230265,14.117868720419317,0.008393692810948039,flood-focused,False,85873
"Minneapolis Full, MN",random,50,7,42936,14.102297161099866,14.117868720419317,-0.015571559319450756,flood-focused,False,85873
"Minneapolis Full, MN",random,50,8,42936,14.12844727980118,14.117868720419317,0.010578559381864139,flood-focused,False,85873
"Minneapolis Full, MN",random,50,9,42936,14.116603447639934,14.117868720419317,-0.001265272779383153,flood-focused,False,85873
"Minneapolis Full, MN",flood-focused,50,0,42936,15.36360210049254,14.117868720419317,1.245733380073224,flood-focused,False,82119
"Minneapolis Full, MN",flood-focused,50,1,42936,15.360400788414239,14.117868720419317,1.2425320679949223,flood-focused,False,82119
"Minneapolis Full, MN",flood-focused,50,2,42936,15.353799153773528,14.117868720419317,1.235930433354211,flood-focused,False,82119
"Minneapolis Full, MN",flood-focused,50,3,42936,15.353130762533468,14.117868720419317,1.235262042114151,flood-focused,False,82119
"Minneapolis Full, MN",flood-focused,50,4,42936,15.343596231852265,14.117868720419317,1.2257275114329484,flood-focused,False,82119
"Minneapolis Full, MN",flood-focused,50,5,42936,15.357758486802108,14.117868720419317,1.2398897663827917,flood-focused,False,82119
"Minneapolis Full, MN",flood-focused,50,6,42936,15.367278523277848,14.117868720419317,1.2494098028585316,flood-focused,False,82119
"Minneapolis Full, MN",flood-focused,50,7,42936,15.363942372415,14.117868720419317,1.2460736519956832,flood-focused,False,82119
"Minneapolis Full, MN",flood-focused,50,8,42936,15.36901651377229,14.117868720419317,1.251147793352974,flood-focused,False,82119
"Minneapolis Full, MN",flood-focused,50,9,42936,15.35906130881774,14.117868720419317,1.2411925883984232,flood-focused,False,82119
"Minneapolis Full, MN",cooling-focused,50,0,42936,0.384963733556915,0.35805228066127276,0.02691145289564223,cooling-focused,False,85873
"Minneapolis Full, MN",cooling-focused,50,1,42936,0.3846417285752514,0.35805228066127276,0.02658944791397866,cooling-focused,False,85873
"Minneapolis Full, MN",cooling-focused,50,2,42936,0.3844129184242333,0.35805228066127276,0.026360637762960548,cooling-focused,False,85873
"Minneapolis Full, MN",cooling-focused,50,3,42936,0.38440365191208364,0.35805228066127276,0.026351371250810884,cooling-focused,False,85873
"Minneapolis Full, MN",cooling-focused,50,4,42936,0.38499308777337843,0.35805228066127276,0.02694080711210567,cooling-focused,False,85873
"Minneapolis Full, MN",cooling-focused,50,5,42936,0.38368495843663936,0.35805228066127276,0.025632677775366597,cooling-focused,False,85873
"Minneapolis Full, MN",cooling-focused,50,6,42936,0.3850564105994034,0.35805228066127276,0.027004129938130617,cooling-focused,False,85873
"Minneapolis Full, MN",cooling-focused,50,7,42936,0.3852514267648272,0.35805228066127276,0.02719914610355445,cooling-focused,False,85873
"Minneapolis Full, MN",cooling-focused,50,8,42936,0.3845650338222512,0.35805228066127276,0.026512753160978453,cooling-focused,False,85873
"Minneapolis Full, MN",cooling-focused,50,9,42936,0.3845405031146628,0.35805228066127276,0.026488222453390053,cooling-focused,False,85873
"Minneapolis Full, MN",undersupply-focused,50,0,42936,5.04881967618512,2.524380441077921,2.524439235107199,undersupply-focused,True,20384
"Minneapolis Full, MN",undersupply-focused,50,1,42936,5.04881967618512,2.524380441077921,2.524439235107199,undersupply-focused,True,20384
"Minneapolis Full, MN",undersupply-focused,50,2,42936,5.04881967618512,2.524380441077921,2.524439235107199,undersupply-focused,True,20384
"Minneapolis Full, MN",undersupply-focused,50,3,42936,5.04881967618512,2.524380441077921,2.524439235107199,undersupply-focused,True,20384
"Minneapolis Full, MN",undersupply-focused,50,4,42936,5.04881967618512,2.524380441077921,2.524439235107199,undersupply-focused,True,20384
"Minneapolis Full, MN",undersupply-focused,50,5,42936,5.04881967618512,2.524380441077921,2.524439235107199,undersupply-focused,True,20384
"Minneapolis Full, MN",undersupply-focused,50,6,42936,5.04881967618512,2.524380441077921,2.524439235107199,undersupply-focused,True,20384
"Minneapolis Full, MN",undersupply-focused,50,7,42936,5.04881967618512,2.524380441077921,2.524439235107199,undersupply-focused,True,20384
"Minneapolis Full, MN",undersupply-focused,50,8,42936,5.04881967618512,2.524380441077921,2.524439235107199,undersupply-focused,True,20384
"Minneapolis Full, MN",undersupply-focused,50,9,42936,5.04881967618512,2.524380441077921,2.524439235107199,undersupply-focused,True,20384
"Minneapolis Full, MN",balanced,50,0,42936,1.499261712460226e-05,1.164510381610052e-05,3.3475133085017393e-06,balanced,False,85873
"Minneapolis Full, MN",balanced,50,1,42936,1.4980161692157685e-05,1.164510381610052e-05,3.335057876057165e-06,balanced,False,85873
"Minneapolis Full, MN",balanced,50,2,42936,1.5007921690206281e-05,1.164510381610052e-05,3.362817874105761e-06,balanced,False,85873
"Minneapolis Full, MN",balanced,50,3,42936,1.4973060912540501e-05,1.164510381610052e-05,3.3279570964399815e-06,balanced,False,85873
